slice_category,slice_value,precision,recall,fbeta,count
occupation,Farming-fishing,0.9,0.391304347826087,0.5454545454545454,994
occupation,Craft-repair,0.8576779026217228,0.4930032292787944,0.6261107313738893,4099
occupation,?,0.8942307692307693,0.4869109947643979,0.6305084745762713,1843
occupation,Adm-clerical,0.820855614973262,0.6055226824457594,0.6969353007945516,3770
occupation,Protective-serv,0.8552631578947368,0.6161137440758294,0.7162534435261707,649
occupation,Sales,0.8223039215686274,0.6826042726347915,0.7459699833240689,3650
occupation,Tech-support,0.8527131782945736,0.7773851590106007,0.8133086876155268,928
occupation,Exec-managerial,0.8474663908996898,0.8328252032520326,0.8400820092260379,4066
occupation,Prof-specialty,0.8295752490823283,0.8509951586874663,0.8401486988847583,4140
occupation,Armed-Forces,1.0,1.0,1.0,9
occupation,Priv-house-serv,1.0,1.0,1.0,149
race,Amer-Indian-Eskimo,0.9047619047619048,0.5277777777777778,0.6666666666666666,311
race,Black,0.8819188191881919,0.6175710594315246,0.7264437689969605,3124
race,White,0.8398424117848579,0.6889138682028945,0.7569278270937861,27816
race,Asian-Pac-Islander,0.856,0.7753623188405797,0.8136882129277566,1039
race,Other,0.9047619047619048,0.76,0.8260869565217391,271
relationship,Unmarried,1.0,0.2981651376146789,0.4593639575971732,3446
relationship,Own-child,1.0,0.31343283582089554,0.4772727272727273,5068
relationship,Not-in-family,0.9573863636363636,0.39369158878504673,0.5579470198675497,8305
relationship,Other-relative,0.9411764705882353,0.43243243243243246,0.5925925925925927,981
relationship,Husband,0.832385286310201,0.7418046637377492,0.7844889206576126,13193
relationship,Wife,0.8407738095238095,0.7583892617449665,0.7974594213126324,1568
sex,Female,0.8678090575275398,0.6013570822731128,0.7104208416833667,10771
sex,Male,0.8390042979942693,0.703242269588712,0.7651478033643638,21790
workclass,?,0.8942307692307693,0.4869109947643979,0.6305084745762713,1836
workclass,Self-emp-not-inc,0.8273809523809523,0.5759668508287292,0.6791530944625407,2541
workclass,Private,0.8450063211125158,0.6733830344549667,0.749495402556627,22696
workclass,Local-gov,0.8153564899451554,0.7228525121555915,0.7663230240549829,2093
workclass,State-gov,0.8386075949367089,0.7507082152974505,0.7922272047832586,1298
workclass,Federal-gov,0.8431372549019608,0.8113207547169812,0.826923076923077,960
workclass,Self-emp-inc,0.8576051779935275,0.8520900321543409,0.8548387096774194,1116
workclass,Never-worked,1.0,1.0,1.0,7
workclass,Without-pay,1.0,1.0,1.0,14
